[2026-08-12 14:45:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:46:04] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:04] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:20] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:46:29] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:29] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:39] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:46:39] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:46:45] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:02] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:02] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:10] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:10] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:29] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:30] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:47:39] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:39] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:48] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:47:48] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:47:54] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:48:17] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:17] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:24] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:24] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:34] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:34] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:48:41] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:48:43] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:48:43] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:49:05] INFO     | exadata_cell_server_parser | ✅ Parsed 4 Cell Server rows
[2026-08-12 14:49:05] INFO     | exadata_cell_server_parser | ✅ Inserted 4 rows into awr_exadata_cell_server
[2026-08-12 14:51:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:51:38] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:53:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:55:23] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:56:13] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:58:24] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 14:58:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:00:36] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:02:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:02:05] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:04:05] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:05:19] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:07:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:07:51] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:10:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:11:18] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:12:27] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:14:46] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:16:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:20:46] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:22:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:25:00] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:25:20] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:26:33] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:27:09] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:27:53] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:29:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:29:14] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:30:40] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:31:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:32:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:33:31] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:33:42] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:34:58] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:35:43] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:36:16] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:37:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:38:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:39:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:40:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:40:24] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:41:44] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:42:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:42:59] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:45:00] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:47:15] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:49:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:51:38] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:54:06] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:56:27] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 15:58:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:01:06] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:03:23] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:05:44] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:07:59] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:10:17] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:12:36] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:14:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:17:04] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:19:12] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:21:23] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:23:34] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:25:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:27:49] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:30:00] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:32:07] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-12 16:34:17] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 10:01:10] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 10:33:34] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 10:34:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:06:43] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:07:58] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:09:15] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:36:40] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:37:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:39:15] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 11:40:30] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:07:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:08:18] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:09:34] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:10:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:12:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:45:12] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:46:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:47:48] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:49:03] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:50:18] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 12:51:33] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:15:29] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:16:42] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:17:54] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:19:10] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:20:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:21:41] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:22:58] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:45:53] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:47:01] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:48:12] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:49:18] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:50:27] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:51:39] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:52:57] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 13:54:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:16:20] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:17:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:18:40] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:19:45] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:20:52] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:21:57] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:23:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:24:08] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:25:17] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:46:37] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:47:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:49:03] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:50:13] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:51:32] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:52:41] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:53:50] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:54:56] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:56:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 14:57:25] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:17:45] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:19:07] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:20:26] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:21:44] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:23:03] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:24:19] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:25:38] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:26:57] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:28:17] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:29:37] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:30:57] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:49:55] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:51:12] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:52:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:53:43] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:54:58] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:56:11] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:57:28] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 15:58:43] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:00:02] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:01:16] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:02:26] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:03:40] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:23:31] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:24:47] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:26:05] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:27:21] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
[2026-08-13 16:28:35] WARNING  | exadata_cell_server_parser | ⚠️  Cell Server Statistics section not found
